"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"African Leadership Centre (ID 27458)","African Leadership Centre10.47697","open","12","14","true","true"
"Afro Eurasian Studies (ID 19503)","Afro Eurasian Studies10.33722","open","10","6","true","true"
"Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi (ID 20907)","Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi10.35414","open","441","196","false","true"
"Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi (ID 19500)","Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi10.33707","open","100","31","true","true"
"Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi (ID 17953)","Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi10.32709","open","126","210","true","true"
"Agencia De Regulacion y Control Fito y Zoosanitario (ID 21826)","Agencia De Regulacion y Control Fito y Zoosanitario10.36331","open","60","42","true","true"
"Agrarian Science (ID 17863)","Agrarian Science10.32634","open","44","445","false","true"
"Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16519)","Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi10.31463","open","10","98","true","true"
"Ahi Evran Medical Journal, Kirsehir Ahi Evran University (ID 25547)","Ahi Evran Medical Journal, Kirsehir Ahi Evran University10.46332","open","0","31","false","true"
"Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16710)","Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi10.31592","open","17","115","true","true"
"Ahmet Kelesoglu Egitim Fakultesi Dergisi (ID 25281)","Ahmet Kelesoglu Egitim Fakultesi Dergisi10.38151","open","0","19","false","true"
"AIA Standards and Quality (ID 20868)","AIA Standards and Quality10.35400","open","14","23","true","true"
"Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS) (ID 10844)","Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS)10.25209","open","197","50","true","true"
"AIP Publishing (ID 317)","American Institute of Physics10.1063","open","768870","59542","true","true"
"Akademi Komunitas Negeri Putra Sang Fajar Blitar (ID 25835)","Akademi Komunitas Negeri Putra Sang Fajar Blitar10.46510","open","0","21","false","true"
"Akademiai Kiado Zrt. (ID 425)","Akademiai Kiado Zrt.10.1556","open","30196","4374","true","true"
"Akademiar - The Journal of Academic Islamic Studies (ID 25405)","Akademiar - The Journal of Academic Islamic Studies10.46231","open","0","10","false","true"
"Akademik Dil ve Edebiyat Dergisi (ID 20014)","Akademik Dil ve Edebiyat Dergisi10.34083","open","46","148","true","true"
"Akademik Siyer Dergisi, Kahramanmaras Sutcu Imam Universitesi (ID 26753)","Akademik Siyer Dergisi, Kahramanmaras Sutcu Imam Universitesi10.47169","open","0","6","false","true"
"Akademik Sosyal Arastirmalar Dergisi (Asya Studies) (ID 16499)","Akademik Sosyal Arastirmalar Dergisi (Asya Studies)10.31455","open","31","92","true","true"
"Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi (ID 19497)","Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi10.33708","open","0","28","false","true"
"Akdeniz Sanat, Akdeniz University (ID 28120)","Akdeniz Sanat, Akdeniz University10.48069","open","0","8","false","true"
"Akdeniz Spor Bilimleri Dergisi (Mediterranean Journal of Sport Science) (ID 25083)","Akdeniz Spor Bilimleri Dergisi (Mediterranean Journal of Sport Science)10.38021","open","0","39","false","true"
"Akdeniz Universitesi Iletisim Fakultesi Dergisi (ID 16081)","Akdeniz Universitesi Iletisim Fakultesi Dergisi10.31123","open","167","126","true","true"
"Akdeniz University (ID 23271)","Akdeniz University10.37095","open","69","41","true","true"
"Akif Akgul (ID 28952)","Akif Akgul10.51537","open","0","3","false","true"
"Akra Kultur Sanat ve Edebiyat Dergisi (ID 16060)","Akra Kultur Sanat ve Edebiyat Dergisi10.31126","open","80","94","true","true"
"Aksaray University (ID 27225)","Aksaray University10.47479","open","0","9","false","true"
"Aksaray University Journal of Institute of Social Sciences (ID 25250)","Aksaray University Journal of Institute of Social Sciences10.38122","open","5","24","true","true"
"Akshantala Enterprises Private Limited (ID 5394)","Akshantala Enterprises Private Limited10.14260","open","10840","1924","true","true"
"Alanya Hamdullah Emin Pasa Universitesi (ID 21477)","Alanya Hamdullah Emin Pasa Universitesi10.25034","open","79","138","true","true"
"Alanya Hamdullah Emin Pasa Universitesi (ID 21477)","Alanya Hamdullah Emin Pasa Universitesi10.38027","open","79","138","true","true"
"Albanian Sports Science Association (ID 19229)","Albanian Sports Science Association10.33598","open","0","8","false","true"
"Albuquerque: revista de historia (ID 25662)","Albuquerque: revista de historia10.46401","open","255","77","true","true"
"Aleksandras Stulginskis University (ID 6161)","Aleksandras Stulginskis University10.15544","open","873","270","true","false"
"Alfmed LLC (ID 19410)","Alfmed LLC10.33667","open","0","805","false","true"
"Alianza de Investigadores Internacionales SAS (ID 26833)","Alianza de Investigadores Internacionales SAS10.47212","open","35","197","true","true"
"Alinteri Sosyal Bilimler Dergisi (ID 12364)","Alinteri Sosyal Bilimler Dergisi10.30913","open","26","21","true","true"
"ALKU Fen Bilimleri Dergisi, Alanya Alaaddin Keykubat University (ID 26154)","ALKU Fen Bilimleri Dergisi, Alanya Alaaddin Keykubat University10.46740","open","0","26","false","true"
"All Nations University (ID 27965)","All Nations University10.47987","open","2","17","true","true"
"All-Russian Institute of Plant Protection (ID 17305)","All-Russian Institute of Plant Protection10.31993","open","54","66","false","true"
"Allerton Press (ID 1627)","Allerton Press10.3103","open","40667","7135","true","true"
"Almaty Technological University JSC (ID 28270)","Almaty Technological University JSC10.48184","open","0","24","false","true"
"Almaz-Antei Air and Space Defence Corporation (ID 25064)","Almaz-Antei Air and Space Defence Corporation10.38013","open","297","97","true","true"
"Altai State University (ID 5386)","Altai State University10.14258","open","3058","1794","true","true"
"ALUNA (ID 22436)","ALUNA10.36740","open","0","1150","false","true"
"Alwasl University (ID 27582)","Alwasl University10.47798","open","0","30","false","true"
"AMED iD3 Catalyst Unit (ID 19345)","AMED iD3 Catalyst Unit10.33611","open","0","33","false","true"
"American Accounting Association (ID 1112)","American Accounting Association10.2308","open","7838","1146","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","AAAS0010.34133","open","279892","16822","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","American Association for the Advancement of Science (AAAS)10.1126","open","279892","16822","true","true"
"American Astronomical Society (ID 2208)","American Astronomical Society10.3847","open","147605","11225","true","true"
"American Bilingual University (ID 26338)","American Bilingual University10.46910","open","0","4","false","true"
"American Cancer Society (ID 1849)","Wiley (American Cancer Society) 10.3322","open","430","136","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.26434","open","1557884","170641","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.1021","open","1557884","170641","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (ACS)10.29200","open","1557884","170641","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (C&EN)10.47287","open","1557884","170641","true","true"
"American Dairy Science Association (ID 1747)","American Dairy Science Association10.3168","open","33160","2688","true","true"
"American Dental Society of Anesthesiology (ADSA) (ID 1191)","American Dental Society of Anethesiology10.2344","open","504","90","true","true"
"American Fisheries Society (ID 460)","American Fisheries Society10.47886","open","6843","244","true","false"
"American Fisheries Society (ID 460)","American Fisheries Society10.1577","limited","6843","244","true","false"
"American Geophysical Union (AGU) (ID 13)","American Geophysical Union10.1029","open","219637","18655","true","true"
"American Institute of Aeronautics and Astronautics (AIAA) (ID 1387)","American Institute of Aeronautics and Astronautics10.2514","open","255587","14340","true","true"
"American Institute of Mathematical Sciences (AIMS) (ID 2321)","American Institute of Mathematical Sciences10.3934","open","17055","7610","true","true"
"American Interventional Headache Society Annals of Headache Medicine (ID 12208)","American Interventional Headache Society Annals of Headache Medicine10.30756","open","0","21","false","true"
"American Journal of Environmental Biology (ID 27364)","American Journal of Environmental Biology10.47610","open","0","5","false","true"
"American Medical Association (AMA) (ID 10)","American Medical Association10.1001","open","595540","17489","true","true"
"American Meteorological Society (ID 12)","American Meteorological Society10.1175","open","114332","5169","true","true"
"American Pharmacists Association (ID 23)","American Pharmacists Association10.21019","open","3332","536","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society10.1103","open","640748","48785","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society (APS)10.29172","limited","640748","48785","true","true"
"American Physiological Society (ID 24)","American Physiological Society10.1152","open","168498","6219","true","true"
"American Review of Political Economy (ID 25055)","American Review of Political Economy10.38024","open","0","11","false","true"
"American Roentgen Ray Society (ID 1049)","American Roentgen Ray Society10.2214","open","32174","1359","true","true"
"American Shore and Beach Preservation Association (ID 20104)","American Shore and Beach Preservation Association10.34237","open","0","57","false","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology10.1074","open","136","18","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology, Journal of Lipid Research10.1194","open","136","18","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1187","open","10644","809","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1091","open","10644","809","true","true"
"American Society for Clinical Investigation (ID 232)","American Society for Clinical Investigation10.1172","open","31933","2636","true","true"
"American Society for Microbiology (ID 235)","American Society for Microbiology10.1128","open","293800","14245","true","true"
"American Society for Pharmacology & Experimental Therapeutics (ASPET) (ID 36)","American Society for Pharmacology & Experimental Therapeutics10.1124","open","18186","1183","true","true"
"American Society of Civil Engineers (ASCE) (ID 30)","American Society of Civil Engineers10.1061","open","186639","16194","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology10.1200","open","115366","19506","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology (Educational Books)10.14694","open","115366","19506","true","true"
"American Society of Hematology (ID 234)","American Society of Hematology10.1182","open","144834","13958","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology10.1681","open","9966","1804","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology10.2215","open","9966","1804","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology (ASN)10.34067","open","9966","1804","true","true"
"American Society of Neuroradiology (ASNR) (ID 1756)","American Society of Neuroradiology10.3174","open","5616","1080","true","true"
"American Society of Parasitologists (ID 1220)","BioOne (American Society of Parasitologists)10.1645","open","4245","261","true","true"
"American Speech Language Hearing Association (ID 1310)","American Speech-Language-Hearing Association10.1044","open","26514","3204","true","true"
"American Spinal Injury Association (ID 25425)","American Spinal Injury Association10.46292","open","782","86","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1513","open","53165","17427","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1164","open","53165","17427","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1165","open","53165","17427","true","true"
"American Thoracic Society (ID 19)","ATS Scholar10.34197","open","53165","17427","true","true"
"AMG Transcend Association (ID 18784)","AMG Transcend Association10.33263","open","56","1372","false","true"
"Amisos (ID 28188)","Amisos10.48122","open","0","14","false","true"
"Amp Complect Limited (ID 17605)","Amp Complect Limited10.32464","open","6","29","true","true"
"AMPCo (ID 3677)","Australasian Medical Publishing Co. Pty. Ltd.10.5694","open","148749","1012","true","true"
"Amsterdam University Press (ID 3180)","Amsterdam University Press10.5117","open","13858","2628","true","true"
"Anadolu Ogretmen Dergisi (ID 20724)","Anadolu Ogretmen Dergisi10.35346","open","0","34","false","true"
"Anadolu Universitesi Egitim Fakultesi Dergisi (ID 19991)","Anadolu Universitesi Egitim Fakultesi Dergisi10.34056","open","0","40","false","true"
"Anadolu ve Balkan Arastirmalari Dergisi (ID 18359)","Anadolu ve Balkan Arastirmalari Dergisi10.32953","open","14","30","true","true"
"ANASAY (ID 19029)","ANASAY10.33404","open","3","73","true","true"
"Anatolian Current Medical Journal (ID 25131)","Anatolian Current Medical Journal10.38053","open","0","82","false","true"
"Anatolian Journal of Botany (ID 12070)","Anatolian Journal of Botany10.30616","open","26","35","true","true"
"Andover House Inc (ID 18689)","Andover House Inc10.33218","open","31","51","true","true"
"Angarsk State Technical University (ID 22603)","Angarsk State Technical University10.36629","open","101","803","false","true"
"Ankara Avrupa Calismalari Dergisi (ID 17598)","Ankara Avrupa Calismalari Dergisi10.32450","open","383","49","false","true"
"Ankara Barosu Dergisi (ID 12367)","Ankara Barosu Dergisi10.30915","open","47","47","true","true"
"Ankara Haci Bayram Veli Universitesi Hukuk Fakultesi Dergisi (ID 20255)","Ankara Haci Bayram Veli Universitesi Hukuk Fakultesi Dergisi10.34246","open","0","115","false","true"
"Ankara Universitesi Eczacilik Fakultesi Dergisi (ID 19143)","Ankara Universitesi Eczacilik Fakultesi Dergisi10.33483","open","528","63","false","true"
"Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi (ID 16058)","Ankara Universitesi Egitim Bilimleri Fakultesi Dergisi10.30964","open","1357","78","true","true"
"Ankara Universitesi Hukuk Fakultesi Dergisi (ID 19381)","Ankara Universitesi Hukuk Fakultesi Dergisi10.33629","open","1897","65","false","true"
"Ankara Universitesi Ilahiyat Fakultesi Dergisi (ID 18773)","Ankara Universitesi Ilahiyat Fakultesi Dergisi10.33227","open","1384","16","false","true"
"Ankara Universitesi ilef Dergisi (ID 10578)","Ankara Universitesi ilef Dergisi10.24955","open","83","28","true","true"
"Ankara Universitesi Siyasal Bilgiler Fakultesi (ID 19378)","Ankara Universitesi Siyasal Bilgiler Fakultesi10.33630","open","2548","137","false","true"
"Ankara University Faculty of Dentistry (ID 29296)","Ankara University Faculty of Dentistry10.52037","open","0","2","false","true"
"Annals of Laboratory Medicine (ID 27150)","Korean Society for Laboratory Medicine10.3343","open","1234","268","true","true"
"Annals of Surgical Hepatology (ID 6775)","Annals of Surgical Hepatology10.16931","open","198","136","true","true"
"Annals of Tropical Medicine, Visayas State University (ID 18225)","Annals of Tropical Medicine, Visayas State University10.32945","open","288","46","true","true"
"ANO -Perspective of Oncology (ID 24698)","ANO -Perspective of Oncology10.37748","open","0","40","false","true"
"ANO Editorial Board Melioration and Water Management (ID 18368)","ANO Editorial Board Melioration and Water Management10.32962","open","0","119","false","true"
"ANPTUR - Associacao Nacional de Pesquisa e Pos Graducao em Turismo (ID 4609)","ANPTUR - Associacao Nacional de Pesquisa e Pos Graducao em Turismo10.7784","open","331","81","false","true"
"ANSF Publications (ID 16057)","ANSF Publications10.31018","open","1679","283","true","true"
"Antalya Il Milli Egitim Mudurlugu (ID 23462)","Antalya Il Milli Egitim Mudurlugu10.37215","open","0","21","false","true"
"Antiquity Publications (ID 5856)","Antiquity Publications10.15184","open","1016","538","true","true"
"Antropoloji (ID 19354)","Antropoloji10.33613","open","363","50","false","true"
"ANU Press (ID 9752)","ANU Press10.22459","open","6683","1362","true","true"
"AOSIS (ID 2580)","AOSIS10.4102","open","27922","4476","true","true"
"AOTA Press (ID 2927)","AOTA Press10.7139","limited","8132","1254","true","true"
"AOTA Press (ID 2927)","AOTA Press10.5014","limited","8132","1254","true","true"
"AOTA Press (ID 2927)","AOTA Press10.32998","open","8132","1254","true","true"
"AOTA Press (ID 2927)","AOTA Press (AOTA Continuing Education)10.7140","limited","8132","1254","true","true"
"AOTA Press (ID 2927)","AOTA Press (AOTA Special Interest Section Quarterlies)10.7145","limited","8132","1254","true","true"
"AOTA Press (ID 2927)","AOTA Press (OT Practice Magazine)10.7138","limited","8132","1254","true","true"
"Aperio Press (ID 18251)","Aperio Press10.32881","open","0","25","false","true"
"Applied Computational Electromagnetics Society (ID 26447)","Applied Computational Electromagnetics Society10.47037","open","0","186","false","true"
"APUB Co. Ltd (ID 16419)","APUB Co. Ltd10.31528","open","3","0","true","false"
"APUB Publishing (ID 25014)","APUB Co. Ltd10.31528","open","3","0","true","false"
"Arabian Gulf University (ID 29079)","Arabian Gulf University10.51758","open","6","0","true","false"
"Arabic Researcher ID (ID 22749)","Arabic Researcher ID10.36772","open","0","101","false","true"
"Arachnologische Mitteilungen (ID 15937)","Arachnologische Mitteilungen10.30963","open","28","71","true","true"
"Archaeopress Publishing Ltd (ID 26266)","Archaeopress Publishing Ltd10.32028","open","27","87","true","false"
"Archivos de historia del movimiento obrero y la izquierda (ID 26073)","Archivos de historia del movimiento obrero y la izquierda10.46688","open","197","72","false","true"
"Archivum Anatolicum, Ankara University (ID 26425)","Archivum Anatolicum, Ankara University10.46931","open","158","14","false","true"
"Armacost Library (ID 11255)","Armacost Library10.26716","open","2","7","true","true"
"Armenian Genocide Museum-Institute Foundation (ID 28504)","Armenian Genocide Museum-Institute Foundation10.51442","open","7","19","true","true"
"Art History Association of Korea (ID 16033)","Art History Association of Korea10.31065","open","287","59","true","true"
"Artium, Hasan Kalyoncu University (ID 29104)","Artium, Hasan Kalyoncu University10.51664","open","0","5","false","true"
"Artuklu Akademi (ID 20260)","Artuklu Akademi10.34247","open","0","36","false","true"
"Artuklu Human and Social Science Journal, Mardin Artuklu University (ID 25993)","Artuklu Human and Social Science Journal, Mardin Artuklu University10.46628","open","0","11","false","true"
"ASBU Law Journal (ID 26719)","ASBU Law Journal10.47136","open","0","8","false","true"
"ASEAN Heart Journal (ID 16847)","ASEAN Heart Journal10.31762","open","40","27","true","false"
"Asia Counselling and Coaching Society (ID 26552)","Asia Counselling and Coaching Society10.47018","open","0","8","false","true"
"Asia University (ID 27357)","Asia University10.47654","open","146","53","true","false"
"Asia-Europe Institute, University Of Malaya (ID 20932)","Asia-Europe Institute, University Of Malaya10.37353","open","0","13","false","true"
"Asia-Europe Perspective Association (ID 16045)","Asia-Europe Perspective Association10.31203","open","448","37","true","true"
"Asia-Pacific Network for Global Change Research (ID 12303)","Asia-Pacific Network for Global Change Research10.30852","open","32","40","true","true"
"Asian Agricultural and Biological Engineering Association (ID 23476)","Asian Agricultural and Biological Engineering Association10.37221","open","366","68","true","true"
"Asian American Pacific Islander Nurses Association (AAPINA) (ID 16247)","Asian American Pacific Islander Nurses Association (AAPINA)10.31372","open","63","64","false","true"
"Asian Australasian Association of Animal Production Societies (ID 3683)","Asian Australasian Association of Animal Production Societies10.5713","open","5961","627","true","true"
"Asian Cultural Studies Research Institute (ID 20256)","Asian Cultural Studies Research Institute10.34252","open","360","28","true","false"
"Asian Journal of Chemistry (ID 5360)","Asian Journal of Chemistry10.14233","open","7398","1193","true","true"
"Asian Journal of Instruction (ID 26835)","Asian Journal of Instruction10.47215","open","0","5","false","true"
"Asian Medical Press Limited (ID 18295)","Asian Medical Press Limited10.32948","open","5","36","true","true"
"Asian Pacific Journal of Dentistry (ID 27132)","Asian Pacific Journal of Dentistry10.47416","open","0","3","false","true"
"Asian Spine Journal (ASJ) (ID 16744)","Asian Spine Journal (ASJ)10.31616","open","979","360","true","true"
"ASM International (ID 14553)","ASM International10.31399","open","12201","1858","true","true"
"ASME International (ID 33)","ASME International 10.1115","open","256888","20977","true","true"
"Asociacion Colombiana de Ciencias Biologicas (ID 27162)","Asociacion Colombiana de Ciencias Biologicas10.47499","open","4","10","false","true"
"Asociacion Colombiana de Cirugia (ID 12404)","Asociacion Colombiana de Cirugia10.30944","open","91","175","false","true"
"Asociacion Colombiana de Gastroenterologia (ID 9812)","Asociacion Colombiana de Gastroenterologia10.22516","open","226","171","true","true"
"Asociacion Colombiana de Infectologia - ACIN (ID 9620)","Asociacion Colombiana de Infectologia - ACIN10.22354","open","450","142","true","true"
"Asociacion Colombiana de Medicina Fisica y Rehabilitacion (ID 11504)","Asociacion Colombiana de Medicina Fisica y Rehabilitacion10.28957","open","77","38","true","true"
"Asociacion Colombiana de Medicina Interna (ID 21690)","Asociacion Colombiana de Medicina Interna10.36104","open","137","255","true","false"
"Asociacion Colombiana Ingenieros de Sistemas (ID 11781)","Asociacion Colombiana Ingenieros de Sistemas10.29236","open","12","56","true","true"
"Asociacion de Facultades de Administracion y Economia - Chile (ID 20805)","Asociacion de Facultades de Administracion y Economia - Chile10.35692","open","0","46","false","true"
"Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA) (ID 11326)","Asociacion Espanola de Contabilidad y Administracion de Empresas (AECA)10.26784","open","311","75","true","true"
"Asociacion Espanola De Historia Economica (ID 18719)","Asociacion Espanola De Historia Economica10.33231","open","695","101","true","true"
"Asociacion Espanola de Perfusionistas (ID 22443)","Asociacion Espanola de Perfusionistas10.36579","open","0","13","false","true"
"Asociacion Espanola de Psiquiatria del Nino y del Adolescente - Aepnya (ID 16974)","Asociacion Espanola de Psiquiatria del Nino y del Adolescente - Aepnya10.31766","open","50","40","true","true"
"Asociacion Latinoamericana de la Papa - ALAP (ID 22615)","Asociacion Latinoamericana de la Papa - ALAP10.37066","open","255","44","true","false"
