"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"50Sea (ID 18982)","50Sea10.33411","open","0","30","false","true"
"A.N.Severtsov Institute of Ecology and Evolution RAS  - IEE RAS (ID 21632)","A.N.Severtsov Institute of Ecology and Evolution RAS - IEE RAS10.35885","open","121","71","false","true"
"Aarhus University Library (ID 4226)","Aarhus University Library10.7146","open","26443","1544","true","false"
"Aarhus University Library (ID 4226)","Aarhus University Library10.18291","open","26443","1544","true","false"
"Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi (ID 19799)","Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi10.33931","open","1","57","true","true"
"Abasyn University (ID 18167)","Abasyn University10.34091","open","11","88","false","true"
"Aboutscience Srl (ID 18642)","Aboutscience Srl10.33393","open","1685","206","true","true"
"ACA Publishing (ID 22968)","ACA Publishing10.36937","open","0","107","false","true"
"Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti' (ID 28533)","Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti'10.51258","open","0","24","false","true"
"Academia Europea de Direccion y Economia de la Empresa (ID 20782)","Academia Europea de Direccion y Economia de la Empresa10.35564","open","20","48","true","true"
"Academia Mexicana de Investigacion Turistica, A.C. (ID 27299)","Academia Mexicana de Investigacion Turistica, A.C.10.47557","open","27","46","false","true"
"Academia Romana Filiala Cluj (ID 19882)","Academia Romana Filiala Cluj10.33993","open","0","104","false","true"
"Academic Association of Management  and Administration - AVADA (ID 19339)","Academic Association of Management and Administration - AVADA10.33605","open","16","0","true","false"
"Academic Conferences International Ltd (ID 20105)","Academic Conferences International Ltd10.34190","open","1","954","false","true"
"Academic Perspective (ID 19462)","Academic Perspective10.33793","open","142","268","true","true"
"Academic Research Centre (ID 17541)","Academic Research Centre10.32476","open","7","10","false","true"
"Academic Research Publishing Group (ID 18113)","Academic Research Publishing Group10.32861","open","913","1239","true","false"
"Academic Research Publishing Group (Publications) (ID 27517)","Academic Research Publishing Group10.32861","open","913","1239","true","false"
"Academic World Research (ID 26714)","Academic World Research10.47176","open","1673","1347","true","true"
"Academus Publishing (ID 15171)","Academus Publishing10.31519","open","277","110","true","true"
"Academy Journal of Educational Sciences (ID 17040)","Academy Journal of Educational Sciences10.31805","open","19","26","true","true"
"Academy of Economic Sciences of Ukraine (ID 23759)","Academy of Economic Sciences of Ukraine10.37405","open","0","39","false","true"
"Academy of Family Physicians of Malaysia (ID 28286)","Academy of Family Physicians of Malaysia10.51866","open","0","22","false","true"
"Academy of Medical Optics and Optometry (ID 19482)","Academy of Medical Optics and Optometry10.33791","open","0","73","false","true"
"Academy of Medicine, Singapore (ID 26165)","Academy of Medicine, Singapore10.47102","open","0","210","false","true"
"Academy of Public Administration under the President of the Republic of Kazakhstan (ID 29764)","Academy of Public Administration under the President of the Republic of Kazakhstan10.52123","open","0","37","false","true"
"Academy of Science of South Africa (ID 6689)","Academy of Science of South Africa10.17159","open","9416","2386","true","true"
"Academy of Social Enterprise (ID 17911)","Academy of Social Enterprise10.32675","open","56","15","true","false"
"Academy of the FPS of Russia (ID 19123)","Academy of the FPS of Russia10.33463","open","0","40","false","true"
"Academy Of The State Penitentiary Servise (ID 18049)","Academy Of The State Penitentiary Servise10.32755","open","145","169","true","true"
"Academy of Watercolor and Fine Arts of Sergey Andriaka (ID 28498)","Academy of Watercolor and Fine Arts of Sergey Andriaka10.51236","open","0","13","false","true"
"Acarological Studies, DergiPark (ID 26688)","Acarological Studies, DergiPark10.47121","open","0","16","false","true"
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales (ID 7558)","ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales10.18257","open","353","183","true","true"
"Acibadem Universitesi Saglik Bilimleri Dergisi (ID 16024)","Acibadem Universitesi Saglik Bilimleri Dergisi10.31067","open","72","339","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33923","open","20","84","true","false"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33924","open","20","84","true","false"
"Acta Medica Alanya (ID 12012)","Acta Medica Alanya10.30565","open","81","129","true","true"
"Acta Naturae Ltd (ID 17808)","Acta Naturae Ltd10.32607","open","643","102","true","true"
"Acta Paulista de Enfermagem (ID 24620)","Acta Paulista de Enfermagem10.37689","open","0","133","false","true"
"Action For Sustainable Efficacious Development and Awareness (ID 22978)","Action For Sustainable Efficacious Development and Awareness10.36953","open","410","140","false","true"
"Adam Akademi Sosyal Bilimler Dergisi (ID 16830)","Adam Akademi Sosyal Bilimler Dergisi10.31679","open","36","36","true","true"
"Addaiyan International Publishers (ID 21848)","Addaiyan International Publishers10.36099","open","11","102","true","true"
"Adichunchanagiri Institute of Medical Sciences (ID 25558)","Adichunchanagiri Institute of Medical Sciences10.46347","open","95","71","true","true"
"Adiyaman Universitesi Saglik Bilimleri Dergisi (ID 12019)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","95","111","true","true"
"Adiyaman University (ID 23258)","Adiyaman University10.37094","open","1","65","true","true"
"Adiyaman University - Mecuma (ID 17770)","Adiyaman University - Mecuma10.32579","open","18","77","true","true"
"Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi (ID 25416)","Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi10.46237","open","0","38","false","true"
"Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 12255)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","169","8","true","true"
"Advanced Computing and Communications Society - ACCS (ID 19819)","Advanced Computing and Communications Society - ACCS10.34048","open","33","29","false","true"
"Advancements in Agricultural Development, Inc. (ID 23776)","Advancements in Agricultural Development, Inc.10.37433","open","0","31","false","true"
"Advances in Hospitality and Tourism Research (ID 11972)","Advances in Hospitality and Tourism Research10.30519","open","13","41","true","true"
"Advances in the Theory of Nonlinear Analysis and its Application (ID 15935)","Advances in the Theory of Nonlinear Analysis and its Application10.31197","open","33","77","true","true"
"Advances in Weed Science (ID 29173)","Advances in Weed Science10.51694","open","0","5","false","true"
"Aegitas Publishing House (ID 27034)","Aegitas Publishing House10.47359","open","0","13","false","true"
"Aerospace Medical Association of Korea (ID 25437)","Aerospace Medical Association of Korea10.46246","open","0","21","false","true"
"Afet ve Risk Dergisi (ID 20730)","Afet ve Risk DergisI10.35341","open","13","28","true","true"
"AFRICAJOURNALS (ID 25359)","AFRICAJOURNALS10.46222","open","0","84","false","true"
"African Field Epidemiology Network (ID 21985)","African Field Epidemiology Network10.37432","open","12","16","true","true"
